,Name only,page url,Ref count,nb_journal_citations,citation org,citation gov,citation IPCC,citation com,citationipbes,citationguardian,org score,gov score,com score,Sci score,IPCC score,percentage of official sources,Page id,Edit protection,Page lenght (Bytes),DOB,Creator,Total edits,Recent edits,Formated DOB,Year_month,Year
426,Torres Strait Islands,https://en.wikipedia.org/wiki/Torres_Strait_Islands,41,0,6,15,0,8,0,1,0.1463414634,0.3658536585,0.1951219512,0,0,0.512195122,550958,Allow all users (no expiry set),43299,25 March 2004,144.136.151.68,552,5,2004-03-25,2004-03,2004
427,Poverty in the Arctic,https://en.wikipedia.org/wiki/Poverty_in_the_Arctic,10,4,0,0,0,3,0,0,0,0,0.3,0.4,0,0.4,37502457,Allow all users (no expiry set),18182,31 October 2012,Kaypri,67,0,2012-10-31,2012-10,2012
428,Water security,https://en.wikipedia.org/wiki/Water_security,39,14,11,2,2,4,0,0,0.2820512821,0.05128205128,0.1025641026,0.358974359,0.05128205128,0.7435897436,21161137,Allow all users (no expiry set),52772,19 January 2009,Phanly,437,120,2009-01-19,2009-01,2009
429,Climate of Italy,https://en.wikipedia.org/wiki/Climate_of_Italy,92,0,18,0,0,20,0,0,0.1956521739,0,0.2173913043,0,0,0.1956521739,13113624,Allow all users (no expiry set),79921,5 September 2007,Mariokempes,914,1,2007-09-05,2007-09,2007
430,Environmental issues in Nepal,https://en.wikipedia.org/wiki/Environmental_issues_in_Nepal,5,2,1,0,0,0,0,0,0.2,0,0,0.4,0,0.6,4243390,Allow all users (no expiry set),9362,1 March 2006,Bkwillwm,99,0,2006-03-01,2006-03,2006
431,Ron Wyden,https://en.wikipedia.org/wiki/Ron_Wyden,165,0,16,26,0,119,0,0,0.09696969697,0.1575757576,0.7212121212,0,0,0.2545454545,172827,Allow all users (no expiry set),118751,22 January 2003,Hfastedge,1222,1,2003-01-22,2003-01,2003
432,Labor and the environment,https://en.wikipedia.org/wiki/Labor_and_the_environment,23,4,6,2,0,4,0,0,0.2608695652,0.08695652174,0.1739130435,0.1739130435,0,0.5217391304,52917186,Allow all users (no expiry set),21627,19 January 2017,Nicolestephan,44,0,2017-01-19,2017-01,2017
433,Renewable energy in Tuvalu,https://en.wikipedia.org/wiki/Renewable_energy_in_Tuvalu,31,0,7,1,0,7,0,0,0.2258064516,0.03225806452,0.2258064516,0,0,0.2580645161,23692201,Allow all users (no expiry set),21722,21 July 2009,Rmhermen,112,0,2009-07-21,2009-07,2009
434,Climate of Spain,https://en.wikipedia.org/wiki/Climate_of_Spain,41,0,1,0,0,18,0,0,0.0243902439,0,0.4390243902,0,0,0.0243902439,32220053,Allow all users (no expiry set),46271,26 June 2011,Subtropical-man,500,1,2011-06-26,2011-06,2011
435,Agriculture in Bangladesh,https://en.wikipedia.org/wiki/Agriculture_in_Bangladesh,12,0,7,4,0,0,0,0,0.5833333333,0.3333333333,0,0,0,0.9166666667,14076229,Allow all users (no expiry set),12734,4 November 2007,New4325,164,0,2007-11-04,2007-11,2007
436,Regulation of greenhouse gases under the Clean Air Act,https://en.wikipedia.org/wiki/Regulation_of_greenhouse_gases_under_the_Clean_Air_Act,71,0,10,12,4,5,0,0,0.1408450704,0.1690140845,0.07042253521,0,0.05633802817,0.3661971831,31102860,Allow all users (no expiry set),57782,6 March 2011,JLapka,216,0,2011-03-06,2011-03,2011
437,Biogeomorphology,https://en.wikipedia.org/wiki/Biogeomorphology,18,8,0,1,0,0,0,0,0,0.05555555556,0,0.4444444444,0,0.5,3964562,Allow all users (no expiry set),12729,5 February 2006,Daniel Collins,80,1,2006-02-05,2006-02,2006
438,Ectomycorrhiza,https://en.wikipedia.org/wiki/Ectomycorrhiza,122,108,3,1,0,2,0,0,0.02459016393,0.008196721311,0.01639344262,0.8852459016,0,0.9180327869,39480963,Allow all users (no expiry set),87379,25 May 2013,Ebertar,268,0,2013-05-25,2013-05,2013
439,Paleocene–Eocene Thermal Maximum,https://en.wikipedia.org/wiki/Paleocene%E2%80%93Eocene_Thermal_Maximum,82,64,4,1,0,2,0,0,0.0487804878,0.01219512195,0.0243902439,0.7804878049,0,0.8414634146,387369,Allow all users (no expiry set),78580,4 December 2003,Wetman,879,3,2003-12-04,2003-12,2003
440,Fossil fuel phase-out,https://en.wikipedia.org/wiki/Fossil_fuel_phase-out,142,20,45,5,2,38,0,5,0.3169014085,0.03521126761,0.2676056338,0.1408450704,0.01408450704,0.5070422535,12686181,Allow all users (no expiry set),95423,9 August 2007,Somoluaun180th,1490,1,2007-08-09,2007-08,2007
441,City,https://en.wikipedia.org/wiki/City,274,31,32,1,0,19,0,5,0.1167883212,0.003649635036,0.06934306569,0.1131386861,0,0.2335766423,5391,Allow all users (no expiry set),175179,13 November 2001,Dmerrill,5106,11,2001-11-13,2001-11,2001
442,Flood control,https://en.wikipedia.org/wiki/Flood_control,37,2,4,9,0,11,0,1,0.1081081081,0.2432432432,0.2972972973,0.05405405405,0,0.4054054054,20913655,Allow all users (no expiry set),37036,1 January 2009,Wikid77,1072,0,2009-01-01,2009-01,2009
443,Andrew Bolt,https://en.wikipedia.org/wiki/Andrew_Bolt,67,0,1,2,0,42,0,9,0.01492537313,0.02985074627,0.6268656716,0,0,0.0447761194,1081183,Allow all users (no expiry set),43093,18 October 2004,Aaronhill,1414,2,2004-10-18,2004-10,2004
444,Environment of Indonesia,https://en.wikipedia.org/wiki/Environment_of_Indonesia,16,0,7,0,0,3,0,0,0.4375,0,0.1875,0,0,0.4375,15988822,Allow all users (no expiry set),10912,27 February 2008,Neelix,63,0,2008-02-27,2008-02,2008
445,Environmental issues in Florida,https://en.wikipedia.org/wiki/Environmental_issues_in_Florida,34,1,2,4,0,20,0,0,0.05882352941,0.1176470588,0.5882352941,0.02941176471,0,0.2058823529,15990877,Allow all users (no expiry set),19239,27 February 2008,Neelix,150,0,2008-02-27,2008-02,2008
446,UNDP South Africa,https://en.wikipedia.org/wiki/UNDP_South_Africa,27,0,16,1,0,1,0,0,0.5925925926,0.03703703704,0.03703703704,0,0,0.6296296296,63932118,Allow all users (no expiry set),17110,12 May 2020,Bobbyshabangu,109,0,2020-05-12,2020-05,2020
447,PlaNYC,https://en.wikipedia.org/wiki/PlaNYC,14,0,0,6,0,8,0,0,0,0.4285714286,0.5714285714,0,0,0.4285714286,12190140,Allow all users (no expiry set),12633,10 July 2007,Leonard Finger,113,1,2007-07-10,2007-07,2007
448,NOOR photo agency,https://en.wikipedia.org/wiki/NOOR_photo_agency,16,0,2,0,0,10,0,0,0.125,0,0.625,0,0,0.125,33092803,Allow all users (no expiry set),10367,15 September 2011,Ina Desk,116,0,2011-09-15,2011-09,2011
449,Māui dolphin,https://en.wikipedia.org/wiki/M%C4%81ui_dolphin,53,4,12,17,0,1,0,0,0.2264150943,0.320754717,0.01886792453,0.07547169811,0,0.6226415094,16787456,Allow all users (no expiry set),32454,6 April 2008,Mnrla,672,2,2008-04-06,2008-04,2008
450,Mangrove tree distribution,https://en.wikipedia.org/wiki/Mangrove_tree_distribution,106,21,17,3,0,18,0,0,0.1603773585,0.02830188679,0.1698113208,0.1981132075,0,0.3867924528,26790549,Allow all users (no expiry set),83625,1 April 2010,Joshrad,129,0,2010-04-01,2010-04,2010
451,Köppen climate classification,https://en.wikipedia.org/wiki/K%C3%B6ppen_climate_classification,25,8,2,1,0,4,0,0,0.08,0.04,0.16,0.32,0,0.44,484254,Allow all users (no expiry set),93352,23 February 2004,Dittaeva,4926,12,2004-02-23,2004-02,2004
452,Pacific Meridional Mode,https://en.wikipedia.org/wiki/Pacific_Meridional_Mode,95,92,0,1,0,0,0,0,0,0.01052631579,0,0.9684210526,0,0.9789473684,65926624,Allow all users (no expiry set),86649,24 November 2020,Jo-Jo Eumerus,187,1,2020-11-24,2020-11,2020
453,Landfill gas emission reduction in Brazil,https://en.wikipedia.org/wiki/Landfill_gas_emission_reduction_in_Brazil,15,0,1,4,0,4,0,0,0.06666666667,0.2666666667,0.2666666667,0,0,0.3333333333,30916131,Allow all users (no expiry set),20739,17 February 2011,Deefalvo,249,0,2011-02-17,2011-02,2011
454,Urban flooding,https://en.wikipedia.org/wiki/Urban_flooding,41,23,2,4,0,6,0,0,0.0487804878,0.09756097561,0.1463414634,0.5609756098,0,0.7073170732,69023655,Allow all users (no expiry set),27376,14 October 2021,G33712,40,7,2021-10-14,2021-10,2021
455,Social trap,https://en.wikipedia.org/wiki/Social_trap,45,22,3,0,0,4,0,0,0.06666666667,0,0.08888888889,0.4888888889,0,0.5555555556,7853805,Allow all users (no expiry set),31671,9 November 2006,Time River,155,1,2006-11-09,2006-11,2006
456,2020 Western United States wildfire season,https://en.wikipedia.org/wiki/2020_Western_United_States_wildfire_season,274,4,20,127,0,107,0,1,0.07299270073,0.4635036496,0.3905109489,0.01459854015,0,0.5510948905,65277757,Allow all users (no expiry set),167794,10 September 2020,Destroyeraa,730,3,2020-09-10,2020-09,2020
457,Evan Bayh,https://en.wikipedia.org/wiki/Evan_Bayh,82,0,10,17,0,53,0,0,0.1219512195,0.2073170732,0.6463414634,0,0,0.3292682927,17905608,Allow all users (no expiry set),57882,15 August 2003,Jiang,1735,6,2003-08-15,2003-08,2003
458,National Flood Insurance Program,https://en.wikipedia.org/wiki/National_Flood_Insurance_Program,75,0,10,42,0,13,0,0,0.1333333333,0.56,0.1733333333,0,0,0.6933333333,2563599,Allow all users (no expiry set),48942,28 August 2005,Ed Poor,233,0,2005-08-28,2005-08,2005
459,Tessa M. Hill,https://en.wikipedia.org/wiki/Tessa_M._Hill,44,9,11,6,0,10,0,0,0.25,0.1363636364,0.2272727273,0.2045454545,0,0.5909090909,57416770,Allow all users (no expiry set),22117,14 May 2018,BrucePL,119,1,2018-05-14,2018-05,2018
460,Natural disasters in India,https://en.wikipedia.org/wiki/Natural_disasters_in_India,39,7,5,5,1,7,0,1,0.1282051282,0.1282051282,0.1794871795,0.1794871795,0.02564102564,0.4615384615,10866056,Allow all users (no expiry set),20872,24 April 2007,Saravask,377,1,2007-04-24,2007-04,2007
461,Southwestern North American megadrought,https://en.wikipedia.org/wiki/Southwestern_North_American_megadrought,23,8,1,3,0,11,0,0,0.04347826087,0.1304347826,0.4782608696,0.347826087,0,0.5217391304,70123829,Allow all users (no expiry set),21423,20 February 2022,Featous,44,3,2022-02-20,2022-02,2022
462,Technological fix,https://en.wikipedia.org/wiki/Technological_fix,36,1,6,1,0,16,0,2,0.1666666667,0.02777777778,0.4444444444,0.02777777778,0,0.2222222222,10456882,Allow all users (no expiry set),24755,4 April 2007,Bacab,184,0,2007-04-04,2007-04,2007
463,Freeman Dyson,https://en.wikipedia.org/wiki/Freeman_Dyson,115,12,26,1,0,50,0,0,0.2260869565,0.008695652174,0.4347826087,0.1043478261,0,0.3391304348,11397,Allow all users (no expiry set),81683,24 October 2001,Malcolm Farmer,2172,2,2001-10-24,2001-10,2001
464,Niskanen Center,https://en.wikipedia.org/wiki/Niskanen_Center,23,0,11,0,0,11,0,0,0.4782608696,0,0.4782608696,0,0,0.4782608696,48857074,Allow all users (no expiry set),11483,19 December 2015,Vipul,213,4,2015-12-19,2015-12,2015
465,History of Tuvalu,https://en.wikipedia.org/wiki/History_of_Tuvalu,231,7,37,17,0,22,0,0,0.1601731602,0.07359307359,0.09523809524,0.0303030303,0,0.2640692641,56727,Allow all users (no expiry set),144795,30 May 2001,KoyaanisQatsi,863,0,2001-05-30,2001-05,2001
466,Paleolimnology,https://en.wikipedia.org/wiki/Paleolimnology,35,23,4,1,0,0,0,0,0.1142857143,0.02857142857,0,0.6571428571,0,0.8,4635545,Allow all users (no expiry set),38143,5 April 2006,Altmany,221,0,2006-04-05,2006-04,2006
467,Soil erosion,https://en.wikipedia.org/wiki/Soil_erosion,126,30,8,5,1,75,0,1,0.06349206349,0.03968253968,0.5952380952,0.2380952381,0.007936507937,0.3492063492,59416,Allow all users (no expiry set),75649,17 April 2002,217.219.242.2,517,5,2002-04-17,2002-04,2002
468,Jungle Nama,https://en.wikipedia.org/wiki/Jungle_Nama,13,3,0,0,0,6,0,0,0,0,0.4615384615,0.2307692308,0,0.2307692308,67457301,Allow all users (no expiry set),19377,21 April 2021,Dial911,34,10,2021-04-21,2021-04,2021
469,2020s in environmental history,https://en.wikipedia.org/wiki/2020s_in_environmental_history,53,2,4,1,0,35,0,4,0.07547169811,0.01886792453,0.6603773585,0.03773584906,0,0.1320754717,65872280,Allow all users (no expiry set),29902,18 November 2020,Keepcalmandchill,60,0,2020-11-18,2020-11,2020
470,Soil respiration,https://en.wikipedia.org/wiki/Soil_respiration,34,9,0,0,0,0,0,0,0,0,0,0.2647058824,0,0.2647058824,12728109,Allow all users (no expiry set),41306,11 August 2007,Clicketyclack,194,0,2007-08-11,2007-08,2007
471,Land degradation,https://en.wikipedia.org/wiki/Land_degradation,22,2,4,3,3,1,0,1,0.1818181818,0.1363636364,0.04545454545,0.09090909091,0.1363636364,0.5454545455,1436198,Allow all users (no expiry set),20453,27 January 2005,PDH,752,2,2005-01-27,2005-01,2005
472,Urban forestry,https://en.wikipedia.org/wiki/Urban_forestry,157,74,29,11,0,14,0,1,0.1847133758,0.07006369427,0.08917197452,0.4713375796,0,0.7261146497,610845,Allow all users (no expiry set),149888,21 April 2004,151.200.35.189,404,25,2004-04-21,2004-04,2004
473,Environment of Florida,https://en.wikipedia.org/wiki/Environment_of_Florida,79,1,12,18,0,32,0,0,0.1518987342,0.2278481013,0.4050632911,0.01265822785,0,0.3924050633,12307449,Allow all users (no expiry set),48557,18 July 2007,HybridBoy,219,0,2007-07-18,2007-07,2007
474,Climate of Pakistan,https://en.wikipedia.org/wiki/Climate_of_Pakistan,14,0,1,1,0,7,0,0,0.07142857143,0.07142857143,0.5,0,0,0.1428571429,18733464,Allow all users (no expiry set),15706,5 August 2008,Uch,470,2,2008-08-05,2008-08,2008
475,Air pollution in Germany,https://en.wikipedia.org/wiki/Air_pollution_in_Germany,23,1,6,2,0,3,0,0,0.2608695652,0.08695652174,0.1304347826,0.04347826087,0,0.3913043478,52912845,Allow all users (no expiry set),25655,18 January 2017,Madeleinebeelen,65,1,2017-01-18,2017-01,2017
476,Climate of Australia,https://en.wikipedia.org/wiki/Climate_of_Australia,150,1,2,121,0,13,0,0,0.01333333333,0.8066666667,0.08666666667,0.006666666667,0,0.8266666667,9638490,Allow all users (no expiry set),108740,22 February 2007,PDH,1901,7,2007-02-22,2007-02,2007
477,Agriculture in Moldova,https://en.wikipedia.org/wiki/Agriculture_in_Moldova,22,2,10,1,0,2,0,0,0.4545454545,0.04545454545,0.09090909091,0.09090909091,0,0.5909090909,25945539,Allow all users (no expiry set),25689,25 January 2010,Dalderdj,36,0,2010-01-25,2010-01,2010
478,Peak water,https://en.wikipedia.org/wiki/Peak_water,79,4,30,2,1,24,0,0,0.3797468354,0.0253164557,0.3037974684,0.05063291139,0.01265822785,0.4683544304,15909409,Allow all users (no expiry set),60610,23 February 2008,MER-C,694,0,2008-02-23,2008-02,2008
479,Rafe Pomerance,https://en.wikipedia.org/wiki/Rafe_Pomerance,18,2,5,4,0,4,0,0,0.2777777778,0.2222222222,0.2222222222,0.1111111111,0,0.6111111111,58051457,Allow all users (no expiry set),11062,2 August 2018,Nysus,68,0,2018-08-02,2018-08,2018
480,Climate of India,https://en.wikipedia.org/wiki/Climate_of_India,12,3,0,3,0,4,0,0,0,0.25,0.3333333333,0.25,0,0.5,797653,Require administrator access (no expiry set),99409,8 July 2004,Nichalp,2392,5,2004-07-08,2004-07,2004
481,Forest migration,https://en.wikipedia.org/wiki/Forest_migration,32,25,0,0,1,1,0,0,0,0,0.03125,0.78125,0.03125,0.8125,25373866,Allow all users (no expiry set),29906,9 December 2009,Jsplantguy,103,0,2009-12-09,2009-12,2009
482,Mitchell Taylor,https://en.wikipedia.org/wiki/Mitchell_Taylor,4,0,1,0,0,0,0,0,0.25,0,0,0,0,0.25,25490113,Allow all users (no expiry set),7068,19 December 2009,Emmanuelm,85,0,2009-12-19,2009-12,2009
483,Copenhagen Consensus,https://en.wikipedia.org/wiki/Copenhagen_Consensus,42,0,1,0,0,29,0,3,0.02380952381,0,0.6904761905,0,0,0.02380952381,645189,Allow all users (no expiry set),32135,10 May 2004,67.100.122.124,383,0,2004-05-10,2004-05,2004
484,Climate of Myanmar,https://en.wikipedia.org/wiki/Climate_of_Myanmar,26,1,10,0,0,7,0,0,0.3846153846,0,0.2692307692,0.03846153846,0,0.4230769231,58461886,Allow all users (no expiry set),12553,11 September 2018,Jonatanhoppus,46,2,2018-09-11,2018-09,2018
485,Environmental issues in the European Union,https://en.wikipedia.org/wiki/Environmental_issues_in_the_European_Union,5,0,1,0,0,0,0,0,0.2,0,0,0,0,0.2,28163453,Allow all users (no expiry set),4917,26 July 2010,Alan Liefting,29,0,2010-07-26,2010-07,2010
486,Pagophily,https://en.wikipedia.org/wiki/Pagophily,18,17,0,1,0,0,0,0,0,0.05555555556,0,0.9444444444,0,1,24037139,Allow all users (no expiry set),17399,19 August 2009,Altenmann,58,0,2009-08-19,2009-08,2009
487,Richard Tol,https://en.wikipedia.org/wiki/Richard_Tol,27,4,3,1,1,10,0,3,0.1111111111,0.03703703704,0.3703703704,0.1481481481,0.03703703704,0.3333333333,10484411,Allow all users (no expiry set),15909,5 April 2007,William M. Connolley,335,1,2007-04-05,2007-04,2007
488,Jay Inslee 2020 presidential campaign,https://en.wikipedia.org/wiki/Jay_Inslee_2020_presidential_campaign,30,0,3,1,0,25,0,0,0.1,0.03333333333,0.8333333333,0,0,0.1333333333,59559323,Allow all users (no expiry set),20642,3 January 2019,PrairieKid,115,0,2019-01-03,2019-01,2019
489,Chicago Wilderness,https://en.wikipedia.org/wiki/Chicago_Wilderness,21,0,12,3,0,4,0,0,0.5714285714,0.1428571429,0.1904761905,0,0,0.7142857143,34488107,Allow all users (no expiry set),17065,25 January 2012,Braveliltoasters,86,0,2012-01-25,2012-01,2012
490,Water resources management in Peru,https://en.wikipedia.org/wiki/Water_resources_management_in_Peru,26,0,12,1,0,4,0,0,0.4615384615,0.03846153846,0.1538461538,0,0,0.5,16090007,Allow all users (no expiry set),45271,4 March 2008,Anunezsanchez,284,0,2008-03-04,2008-03,2008
491,Bird migration,https://en.wikipedia.org/wiki/Bird_migration,149,76,18,3,0,6,0,0,0.1208053691,0.02013422819,0.04026845638,0.5100671141,0,0.6510067114,201943,Allow all users (no expiry set),91540,27 March 2003,195.93.32.9,1708,6,2003-03-27,2003-03,2003
492,Polar vortex,https://en.wikipedia.org/wiki/Polar_vortex,66,27,5,6,0,14,0,0,0.07575757576,0.09090909091,0.2121212121,0.4090909091,0,0.5757575758,1443028,Allow all users (no expiry set),42022,29 January 2005,81.138.40.72,961,0,2005-01-29,2005-01,2005
493,Urban planning in Australia,https://en.wikipedia.org/wiki/Urban_planning_in_Australia,84,1,0,9,0,5,0,0,0,0.1071428571,0.05952380952,0.0119047619,0,0.119047619,33192689,Allow all users (no expiry set),64297,24 September 2011,Beau Dubois,208,1,2011-09-24,2011-09,2011
494,Younger Dryas,https://en.wikipedia.org/wiki/Younger_Dryas,150,100,3,0,1,9,0,0,0.02,0,0.06,0.6666666667,0.006666666667,0.6933333333,54957,Allow all users (no expiry set),98480,4 June 2002,195.149.37.186,1141,11,2002-06-04,2002-06,2002
495,Environmental issues in the United Kingdom,https://en.wikipedia.org/wiki/Environmental_issues_in_the_United_Kingdom,25,11,2,1,0,2,0,1,0.08,0.04,0.08,0.44,0,0.56,23495083,Allow all users (no expiry set),15465,5 July 2009,Alan Liefting,167,2,2009-07-05,2009-07,2009
496,Cupido carswelli,https://en.wikipedia.org/wiki/Cupido_carswelli,3,0,0,0,0,0,0,0,0,0,0,0,0,0,56523202,Allow all users (no expiry set),2451,7 February 2018,Notafly,24,0,2018-02-07,2018-02,2018
497,Aquaculture in South Korea,https://en.wikipedia.org/wiki/Aquaculture_in_South_Korea,23,8,5,1,0,0,0,0,0.2173913043,0.04347826087,0,0.347826087,0,0.6086956522,33256240,Allow all users (no expiry set),20074,30 September 2011,Ikarusdk,56,0,2011-09-30,2011-09,2011
498,Cellana exarata,https://en.wikipedia.org/wiki/Cellana_exarata,7,4,0,1,0,0,0,0,0,0.1428571429,0,0.5714285714,0,0.7142857143,20688093,Allow all users (no expiry set),11482,14 December 2008,Rockdowner,48,0,2008-12-14,2008-12,2008
499,Greenhouse gas emissions by Australia,https://en.wikipedia.org/wiki/Greenhouse_gas_emissions_by_Australia,111,1,26,22,1,25,0,10,0.2342342342,0.1981981982,0.2252252252,0.009009009009,0.009009009009,0.4504504505,20802345,Allow all users (no expiry set),74426,22 December 2008,Mporter,286,0,2008-12-22,2008-12,2008
500,Anote Tong,https://en.wikipedia.org/wiki/Anote_Tong,47,0,12,0,0,18,0,3,0.2553191489,0,0.3829787234,0,0,0.2553191489,392432,Allow all users (no expiry set),24755,7 December 2003,Morwen,385,0,2003-12-07,2003-12,2003
501,Flood,https://en.wikipedia.org/wiki/Flood,55,8,10,11,2,9,0,1,0.1818181818,0.2,0.1636363636,0.1454545455,0.03636363636,0.5636363636,50482,Require administrator access (no expiry set),52789,26 April 2002,Bryan Derksen,5101,5,2002-04-26,2002-04,2002
502,2021–2022 Malaysian floods,https://en.wikipedia.org/wiki/2021%E2%80%932022_Malaysian_floods,159,0,0,5,0,136,0,1,0,0.03144654088,0.8553459119,0,0,0.03144654088,69555762,Allow all users (no expiry set),127827,20 December 2021,Ainty Painty,413,0,2021-12-20,2021-12,2021
503,2016 Pakistan Floods,https://en.wikipedia.org/wiki/2016_Pakistan_Floods,34,7,3,5,0,9,0,3,0.08823529412,0.1470588235,0.2647058824,0.2058823529,0,0.4411764706,69038769,Allow all users (no expiry set),24795,16 October 2021,Morphrich,105,0,2021-10-16,2021-10,2021
504,Woody plant encroachment,https://en.wikipedia.org/wiki/Woody_plant_encroachment,227,193,13,3,2,6,0,0,0.05726872247,0.01321585903,0.02643171806,0.8502202643,0.008810572687,0.9295154185,54508553,Allow all users (no expiry set),154614,9 July 2017,Sekundemal,574,7,2017-07-09,2017-07,2017
505,Tanzania's food security,https://en.wikipedia.org/wiki/Tanzania%27s_food_security,12,5,2,3,0,1,0,0,0.1666666667,0.25,0.08333333333,0.4166666667,0,0.8333333333,63164984,Allow all users (no expiry set),11380,20 February 2020,Mautianm,24,0,2020-02-20,2020-02,2020
506,Fiji and the United Nations,https://en.wikipedia.org/wiki/Fiji_and_the_United_Nations,20,0,5,2,0,8,0,0,0.25,0.1,0.4,0,0,0.35,19838544,Allow all users (no expiry set),17690,19 October 2008,Aridd,69,0,2008-10-19,2008-10,2008
507,Meadow,https://en.wikipedia.org/wiki/Meadow,36,17,6,0,0,2,0,0,0.1666666667,0,0.05555555556,0.4722222222,0,0.6388888889,371406,Allow all users (no expiry set),38526,18 November 2003,212.159.114.236,636,1,2003-11-18,2003-11,2003
508,Madhya Pradesh Rural Livelihoods Project,https://en.wikipedia.org/wiki/Madhya_Pradesh_Rural_Livelihoods_Project,9,0,2,6,0,0,0,0,0.2222222222,0.6666666667,0,0,0,0.8888888889,30167302,Allow all users (no expiry set),15328,23 December 2010,Jimandsandy,40,0,2010-12-23,2010-12,2010
509,Conservation in Papua New Guinea,https://en.wikipedia.org/wiki/Conservation_in_Papua_New_Guinea,44,4,16,3,0,7,0,0,0.3636363636,0.06818181818,0.1590909091,0.09090909091,0,0.5227272727,8048297,Allow all users (no expiry set),26521,21 November 2006,Tanya zeriga,113,1,2006-11-21,2006-11,2006
510,False balance,https://en.wikipedia.org/wiki/False_balance,17,13,0,0,0,2,0,0,0,0,0.1176470588,0.7647058824,0,0.7647058824,2721694,Allow all users (no expiry set),10395,21 September 2005,Antaeus Feldspar,332,1,2005-09-21,2005-09,2005
511,Australian Conservation Foundation,https://en.wikipedia.org/wiki/Australian_Conservation_Foundation,8,0,4,3,0,1,0,0,0.5,0.375,0.125,0,0,0.875,1189447,Allow all users (no expiry set),30386,20 November 2004,PDH,228,0,2004-11-20,2004-11,2004
512,Environmental issues in Kuwait,https://en.wikipedia.org/wiki/Environmental_issues_in_Kuwait,10,0,2,1,0,0,0,0,0.2,0.1,0,0,0,0.3,51997514,Allow all users (no expiry set),20386,14 October 2016,Akaash agarwal,101,0,2016-10-14,2016-10,2016
513,Climate of Antarctica,https://en.wikipedia.org/wiki/Climate_of_Antarctica,36,4,4,14,2,4,0,0,0.1111111111,0.3888888889,0.1111111111,0.1111111111,0.05555555556,0.6666666667,179863,Allow all users (no expiry set),26686,6 February 2003,192.171.137.26,1797,7,2003-02-06,2003-02,2003
514,Josephine Staton,https://en.wikipedia.org/wiki/Josephine_Staton,33,0,2,5,0,25,0,0,0.06060606061,0.1515151515,0.7575757576,0,0,0.2121212121,26982556,Allow all users (no expiry set),21796,17 April 2010,Jarvishunt,156,0,2010-04-17,2010-04,2010
515,Peel watershed,https://en.wikipedia.org/wiki/Peel_watershed,20,0,0,0,0,2,0,0,0,0,0.1,0,0,0,30952765,Allow all users (no expiry set),19580,20 February 2011,WestDawsonSebastian,55,0,2011-02-20,2011-02,2011
516,Vulnerability,https://en.wikipedia.org/wiki/Vulnerability,37,10,8,1,0,3,0,0,0.2162162162,0.02702702703,0.08108108108,0.2702702703,0,0.5135135135,36648147,Allow all users (no expiry set),20952,24 August 2004,65.104.63.195,483,2,2004-08-24,2004-08,2004
517,General Grant Grove,https://en.wikipedia.org/wiki/General_Grant_Grove,20,0,1,7,0,4,0,0,0.05,0.35,0.2,0,0,0.4,888434,Allow all users (no expiry set),25832,9 August 2004,66.167.252.253,175,0,2004-08-09,2004-08,2004
518,Deep energy retrofit,https://en.wikipedia.org/wiki/Deep_energy_retrofit,20,1,7,2,0,4,0,0,0.35,0.1,0.2,0.05,0,0.5,27882571,Allow all users (no expiry set),29136,28 June 2010,Clarkesociety,163,0,2010-06-28,2010-06,2010
519,Richard Lindzen,https://en.wikipedia.org/wiki/Richard_Lindzen,104,37,10,1,0,33,0,1,0.09615384615,0.009615384615,0.3173076923,0.3557692308,0,0.4615384615,182075,Allow all users (no expiry set),71236,11 February 2003,Ed Poor,1592,3,2003-02-11,2003-02,2003
520,Lipid pump,https://en.wikipedia.org/wiki/Lipid_pump,27,24,0,2,0,0,0,0,0,0.07407407407,0,0.8888888889,0,0.962962963,58445345,Allow all users (no expiry set),40540,9 September 2018,RileyBugz,26,1,2018-09-09,2018-09,2018
521,Myanmar,https://en.wikipedia.org/wiki/Myanmar,423,10,97,19,0,146,0,10,0.2293144208,0.04491725768,0.3451536643,0.02364066194,0,0.2978723404,19457,Require administrator access (no expiry set),246895,17 October 2001,Manning Bartlett,12704,12,2001-10-17,2001-10,2001
522,Water resources management in Bolivia,https://en.wikipedia.org/wiki/Water_resources_management_in_Bolivia,14,1,7,3,0,2,0,0,0.5,0.2142857143,0.1428571429,0.07142857143,0,0.7857142857,18250180,Allow all users (no expiry set),28414,2 July 2008,Anunezsanchez,138,1,2008-07-02,2008-07,2008
523,Heartland Institute,https://en.wikipedia.org/wiki/Heartland_Institute,148,3,41,2,2,67,0,14,0.277027027,0.01351351351,0.4527027027,0.02027027027,0.01351351351,0.3243243243,2432317,Allow all users (no expiry set),79704,11 August 2005,Polynova,2143,3,2005-08-11,2005-08,2005
524,Phenotypic plasticity,https://en.wikipedia.org/wiki/Phenotypic_plasticity,65,60,0,0,0,0,0,0,0,0,0,0.9230769231,0,0.9230769231,3040270,Allow all users (no expiry set),47699,30 October 2005,Sharenarl,291,0,2005-10-30,2005-10,2005
525,Climate of Svalbard,https://en.wikipedia.org/wiki/Climate_of_Svalbard,27,4,2,0,1,2,0,0,0.07407407407,0,0.07407407407,0.1481481481,0.03703703704,0.2592592593,18969725,Allow all users (no expiry set),29160,21 August 2008,The Transhumanist,140,0,2008-08-21,2008-08,2008
